domain,mcp_server_url,auth
deepsource.com,https://mcp.deepsource.com/mcp,oauth
defillama.com,https://mcp.defillama.com/mcp,oauth
delogue.com,https://mcp.delogue.com/mcp,oauth
demodesk.com,https://mcp.demodesk.com/mcp,oauth
demostack.com,https://mcp.demostack.com/mcp,oauth
desidime.com,https://mcp.desidime.com/mcp,oauth
detectify.com,https://mcp.detectify.com/mcp,oauth
determ.com,https://mcp.determ.com/mcp,oauth
dev5s.com,https://mcp.dev5s.com/mcp,oauth
devcycle.com,https://mcp.devcycle.com/mcp,oauth
digi-keys.ru,https://mcp.digi-keys.ru/mcp,oauth
digitalphotogallery.com,https://mcp.digitalphotogallery.com/mcp,oauth
digitalpolicyalert.org,https://mcp.digitalpolicyalert.org/mcp,oauth
digitalsamba.com,https://mcp.digitalsamba.com/mcp,oauth
directify.app,https://mcp.directify.app/mcp,oauth
dirtsstore.com,https://mcp.dirtsstore.com/mcp,oauth
dispatchit.com,https://mcp.dispatchit.com/mcp,oauth
disqo.com,https://mcp.disqo.com/mcp,oauth
dobartek.hr,https://mcp.dobartek.hr/mcp,oauth
docbase.io,https://mcp.docbase.io/mcp,oauth
document360.io,https://mcp.document360.io/mcp,oauth
documentolog.kz,https://mcp.documentolog.kz/mcp,oauth
dodopayments.com,https://mcp.dodopayments.com/mcp,oauth
doit.com,https://mcp.doit.com/mcp,oauth
doktorsitesi.com,https://mcp.doktorsitesi.com/mcp,oauth
domotz.co,https://mcp.domotz.co/mcp,oauth
domotz.com,https://mcp.domotz.com/mcp,oauth
dooray.com,https://mcp.dooray.com/mcp,oauth
doubleverify.com,https://mcp.doubleverify.com/mcp,oauth
draeger-data.com,https://mcp.draeger-data.com/mcp,oauth
dremio.cloud,https://mcp.dremio.cloud/mcp,oauth
dronedeploy.com,https://mcp.dronedeploy.com/mcp,oauth
droners.io,https://mcp.droners.io/mcp,oauth
dropbox.com,https://mcp.dropbox.com/mcp,oauth
drugbank.com,https://mcp.drugbank.com/mcp,oauth
druryhotels.com,https://mcp.druryhotels.com/mcp,oauth
duda.co,https://mcp.duda.co/mcp,oauth
dukascopy.com,https://mcp.dukascopy.com/mcp,oauth
dutchvalleyfoods.com,https://mcp.dutchvalleyfoods.com/mcp,oauth
dxbx.ru,https://mcp.dxbx.ru/mcp,oauth
dynadot.com,https://mcp.dynadot.com/mcp,oauth
e-comet.io,https://mcp.e-comet.io/mcp,oauth
easydmarc.com,https://mcp.easydmarc.com/mcp,oauth
easyship.com,https://mcp.easyship.com/mcp,oauth
easyweek.io,https://mcp.easyweek.io/mcp,oauth
edgetag.io,https://mcp.edgetag.io/mcp,oauth
edgetier.com,https://mcp.edgetier.com/mcp,oauth
egrow.com,https://mcp.egrow.com/mcp,oauth
eka.care,https://mcp.eka.care/mcp,oauth
elementaltv.io,https://mcp.elementaltv.io/mcp,oauth
elmah.io,https://mcp.elmah.io/mcp,oauth
emaillove.com,https://mcp.emaillove.com/mcp,oauth
empeo.com,https://mcp.empeo.com/mcp,oauth
enapter.com,https://mcp.enapter.com/mcp,oauth
energyaspects.com,https://mcp.energyaspects.com/mcp,oauth
enigma.com,https://mcp.enigma.com/mcp,oauth
enlyft.com,https://mcp.enlyft.com/mcp,oauth
entryx.io,https://mcp.entryx.io/mcp,oauth
envato-staging.com,https://mcp.envato-staging.com/mcp,oauth
envoy.com,https://mcp.envoy.com/mcp,oauth
eot.pl,https://mcp.eot.pl/mcp,oauth
epam.com,https://mcp.epam.com/mcp,oauth
epcvip.com,https://mcp.epcvip.com/mcp,oauth
escape.tech,https://mcp.escape.tech/mcp,oauth
eskimi.com,https://mcp.eskimi.com/mcp,oauth
espm.br,https://mcp.espm.br/mcp,oauth
estarter.co,https://mcp.estarter.co/mcp,oauth
esw.com,https://mcp.esw.com/mcp,oauth
etermax.com,https://mcp.etermax.com/mcp,oauth
eulerapp.com,https://mcp.eulerapp.com/mcp,oauth
exclaimer.net,https://mcp.exclaimer.net/mcp,oauth
explorium.ai,https://mcp.explorium.ai/mcp,oauth
expo.dev,https://mcp.expo.dev/mcp,oauth
exportcomments.com,https://mcp.exportcomments.com/mcp,oauth
extole.com,https://mcp.extole.com/mcp,oauth
eyewa.com,https://mcp.eyewa.com/mcp,oauth
eztexting.com,https://mcp.eztexting.com/mcp,oauth
f5.live,https://mcp.f5.live/mcp,oauth
facilio.com,https://mcp.facilio.com/mcp,oauth
fbot.me,https://mcp.fbot.me/mcp,oauth
feedly.com,https://mcp.feedly.com/mcp,oauth
feishu.cn,https://mcp.feishu.cn/mcp,oauth
fibery.io,https://mcp.fibery.io/mcp,oauth
figma-gov.com,https://mcp.figma-gov.com/mcp,oauth
figma.com,https://mcp.figma.com/mcp,oauth
fillout.com,https://mcp.fillout.com/mcp,oauth
findymail.com,https://mcp.findymail.com/mcp,oauth
